,Grupo de alumnos,confianz,AccuracyScore,FluencyScore,CompletenessScore,PronScore,Cantidad de palabras leidas,Total errores,Omissions,Insertions,Mispronunciations
0,2do,0.9632008433333331,99.0,88.33333333333333,99.66666666666667,92.73333333333335,206,1,0,1,0
1,4to,0.963319472499999,98.75,90.75,99.0,94.0,241,4,0,4,0
